Title,IF,Q,Publisher,Category,5IF,TITLE Short,Type,Issn_1,Issn_2,None,Country,Region,Coverage,Categories,Areas
Inorganic and Nano-Metal Chemistry,1.4,Q4,Taylor and Francis Ltd.,NANOSCIENCE & NANOTECHNOLOGY,1.7,INORG NANO-MET CHEM,journal,24701556,24701564,118/140,United Kingdom,Western Europe,2017-2023,Inorganic Chemistry (Q3); Physical and Theoretical Chemistry (Q3),Chemistry
Radiochimica Acta,1.4,Q3,Walter de Gruyter GmbH,NUCLEAR SCIENCE & TECHNOLOGY,1.6,RADIOCHIM ACTA,journal,21933405,338230,21/40,Germany,Western Europe,1962-2023,Physical and Theoretical Chemistry (Q3),Chemistry
Russian Journal of Physical Chemistry B,1.4,Q4,Pleiades Publishing,"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",1.1,RUSS J PHYS CHEM B+,journal,19907931,19907923,31/40,United States,Northern America,2007-2023,Physical and Theoretical Chemistry (Q3),Chemistry
Physical Chemistry Research,1.4,Q3,Iranian Chemical Society,"CHEMISTRY, MULTIDISCIPLINARY",1.1,PHYS CHEM RES,journal,23452625,23225521,157/230,Iran,Middle East,2013-2024,Fluid Flow and Transfer Processes (Q3); Physical and Theoretical Chemistry (Q3); Statistical and Nonlinear Physics (Q4),Chemical Engineering; Chemistry; Physics and Astronomy
Colloid Journal,1.4,Q4,Pleiades Publishing,"CHEMISTRY, PHYSICAL",1,COLLOID J+,journal,1061933X,16083067,160/178,United States,Northern America,"1989, 1991-1992, 1995-2023",Colloid and Surface Chemistry (Q4); Physical and Theoretical Chemistry (Q4); Surfaces and Interfaces (Q4),Chemical Engineering; Chemistry; Physics and Astronomy
Endocrine Journal,1.3,Q4,Japan Endocrine Society,ENDOCRINOLOGY & METABOLISM,1.7,ENDOCR J,journal,9188959,13484540,155/186,Japan,Asiatic Region,"1954-1963, 1993-2023","Endocrinology, Diabetes and Metabolism (Q2); Endocrinology (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine"
Macromolecular Bioscience,4.4,Q1,Wiley,POLYMER SCIENCE,5,MACROMOL BIOSCI,journal,16165195,16165187,23/94,Germany,Western Europe,2001-2023,Biotechnology (Q1); Materials Chemistry (Q1); Polymers and Plastics (Q1); Bioengineering (Q2); Biomaterials (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Materials Science"
Journal of Sport Rehabilitation,1.3,Q3,Human Kinetics Publishers Inc.,SPORT SCIENCES,1.7,J SPORT REHABIL,journal,15433072,10566716,84/127,United States,Northern America,1992-2023,"Biophysics (Q2); Orthopedics and Sports Medicine (Q2); Physical Therapy, Sports Therapy and Rehabilitation (Q2); Rehabilitation (Q2); Sports Science (Q3)","Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
Scandinavian Journal of Clinical and Laboratory Investigation,1.3,Q4,Informa Healthcare,"MEDICINE, RESEARCH & EXPERIMENTAL",1.8,SCAND J CLIN LAB INV,journal,365513,15027686,148/189,United Kingdom,Western Europe,1949-2023,Clinical Biochemistry (Q2); Medicine (miscellaneous) (Q2),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of the American Society of Brewing Chemists,1.3,Q4,Taylor and Francis Ltd.,FOOD SCIENCE & TECHNOLOGY,2.1,J AM SOC BREW CHEM,journal,3610470,,135/173,United States,Northern America,1994-2023,Food Science (Q2); Applied Microbiology and Biotechnology (Q3); Biotechnology (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology"
Archiv der Pharmazie,4.3,Q1,Wiley,PHARMACOLOGY & PHARMACY,4.4,ARCH PHARM,journal,15214184,3656233,69/354,Germany,Western Europe,"1822-1831, 1835-1933, 1937-1938, 1940, 1943-1944, 1950-2023",Drug Discovery (Q2); Pharmaceutical Science (Q2),"Pharmacology, Toxicology and Pharmaceutics"
Journal of Pediatric Endocrinology and Metabolism,1.3,Q3,Walter de Gruyter GmbH,PEDIATRICS,1.4,J PEDIATR ENDOCR MET,journal,0334018X,21910251,107/186,Germany,Western Europe,1985-2023,"Pediatrics, Perinatology and Child Health (Q2); Endocrinology (Q3); Endocrinology, Diabetes and Metabolism (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine"
New Genetics and Society,1.3,Q4,Routledge,"SOCIAL SCIENCES, BIOMEDICAL",2.3,NEW GENET SOC,journal,14636778,14699915,37/46,United Kingdom,Western Europe,"1996-1997, 1999-2023","Health (social science) (Q2); Issues, Ethics and Legal Aspects (Q2); Genetics (Q3); Health Policy (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine; Nursing; Social Sciences"
Molecular Cytogenetics,1.3,Q4,BioMed Central Ltd,GENETICS & HEREDITY,1.3,MOL CYTOGENET,journal,17558166,,156/191,United Kingdom,Western Europe,2008-2023,Biochemistry (Q3); Biochemistry (medical) (Q3); Genetics (Q3); Genetics (clinical) (Q4); Molecular Biology (Q4); Molecular Medicine (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
Genetica,1.3,Q4,Springer Nature,GENETICS & HEREDITY,1.3,GENETICA,journal,166707,15736857,156/191,Netherlands,Western Europe,"1919-1941, 1943, 1949-2023",Animal Science and Zoology (Q2); Insect Science (Q2); Plant Science (Q2); Medicine (miscellaneous) (Q3); Genetics (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine"
Xenobiotica,1.3,Q4,Informa Healthcare,TOXICOLOGY,1.4,XENOBIOTICA,journal,498254,13665928,96/106,United Kingdom,Western Europe,1971-2023,"Biochemistry (Q3); Health, Toxicology and Mutagenesis (Q3); Medicine (miscellaneous) (Q3); Pharmacology (Q3); Toxicology (Q3)","Biochemistry, Genetics and Molecular Biology; Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Biomedical Research,1.3,Q4,Biomedical Research Foundation,"MEDICINE, RESEARCH & EXPERIMENTAL",1.7,BIOMED RES-TOKYO,journal,3886107,,148/189,Japan,Asiatic Region,1980-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine"
General Physiology and Biophysics,1.3,Q4,Slovak Academy of Sciences,PHYSIOLOGY,1.3,GEN PHYSIOL BIOPHYS,journal,2315882,13384325,75/85,Slovakia,Eastern Europe,1983-2023,Biophysics (Q3); Medicine (miscellaneous) (Q3); Physiology (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Asian Natural Products Research,1.3,Q3,Taylor and Francis Ltd.,PLANT SCIENCES,1.5,J ASIAN NAT PROD RES,journal,10286020,14772213,166/265,United Kingdom,Western Europe,1998-2023,Complementary and Alternative Medicine (Q2); Analytical Chemistry (Q3); Drug Discovery (Q3); Medicine (miscellaneous) (Q3); Organic Chemistry (Q3); Pharmaceutical Science (Q3); Pharmacology (Q3); Molecular Medicine (Q4),"Biochemistry, Genetics and Molecular Biology; Chemistry; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Biomedical Physics and Engineering Express,1.3,Q3,IOP Publishing Ltd.,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1.3,BIOMED PHYS ENG EXPR,journal,20571976,,138/204,United Kingdom,Western Europe,2015-2023,"Bioengineering (Q3); Biomedical Engineering (Q3); Biophysics (Q3); Computer Science Applications (Q3); Health Informatics (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Biomaterials (Q4); Physiology (Q4)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Computer Science; Engineering; Materials Science; Medicine"
Comparative Medicine,1.3,Q2,American Association for Laboratory Animal Science,ZOOLOGY,1.4,COMPARATIVE MED,journal,15320820,,69/180,United States,Northern America,2000-2023,"Veterinary (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3)","Biochemistry, Genetics and Molecular Biology; Medicine; Veterinary"
Egyptian Journal of Botany,1.3,Q3,Egyptian Academy of Science and Technology,PLANT SCIENCES,1.3,EGYPT J BOT,journal,23570350,3759237,166/265,Egypt,Africa/Middle East,2019-2023,"Agronomy and Crop Science (Q3); Biotechnology (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3); Cell Biology (Q4); Genetics (Q4); Molecular Biology (Q4)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Environmental Science"
Phyton-International Journal of Experimental Botany,1.3,Q3,Tech Science Press,PLANT SCIENCES,1.2,PHYTON-INT J EXP BOT,journal,18515657,319457,166/265,Argentina,Latin America,"1984, 1996-2000, 2006-2023",Plant Science (Q3); Biochemistry (Q4); Physiology (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Journal of Nucleic Acids,1.3,Q4,Hindawi Publishing Corporation,BIOCHEMISTRY & MOLECULAR BIOLOGY,1.6,J NUCLEIC ACIDS,journal,20900201,2090021X,289/313,United States,Northern America,2010-2023,Biochemistry (Q4); Molecular Biology (Q4),"Biochemistry, Genetics and Molecular Biology"
Functional Foods in Health and Disease,1.3,Q4,Functional Food Center Inc.,FOOD SCIENCE & TECHNOLOGY,1.1,FUNCT FOODS HEALTH D,journal,23787007,21603855,135/173,United States,Northern America,2011-2023,Food Science (Q3); Medicine (miscellaneous) (Q3); Nutrition and Dietetics (Q3); Biochemistry (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine; Nursing"
Journal of Helminthology,1.3,Q2,Cambridge University Press,ZOOLOGY,1.4,J HELMINTHOL,journal,0022149X,14752697,69/180,United Kingdom,Western Europe,"1923-1943, 1945-2023",Animal Science and Zoology (Q2); Medicine (miscellaneous) (Q3); Parasitology (Q3),Agricultural and Biological Sciences; Immunology and Microbiology; Medicine
Avian Diseases,1.3,Q2,American Association of Avian Pathologists,VETERINARY SCIENCES,1.5,AVIAN DIS,journal,52086,,78/167,United States,Northern America,"1963, 1965-2023",Animal Science and Zoology (Q2); Food Animals (Q3); Immunology and Microbiology (miscellaneous)  (Q3),Agricultural and Biological Sciences; Immunology and Microbiology; Veterinary
Microbiology,1.3,Q4,Pleiades Publishing,MICROBIOLOGY,1.5,MICROBIOLOGY+,journal,16083237,262617,144/161,United States,Northern America,1996-2023,Applied Microbiology and Biotechnology (Q3); Microbiology (Q4),Immunology and Microbiology
Iranian Journal of Microbiology,1.3,Q4,Teheran University of Medical Sciences,MICROBIOLOGY,1.6,IRAN J MICROBIOL,journal,20083289,20084447,144/161,Iran,Middle East,2010-2023,Microbiology (medical) (Q3); Microbiology (Q4),Immunology and Microbiology; Medicine
Acta Microbiologica et Immunologica Hungarica,1.3,Q4,Akademiai Kiado,MICROBIOLOGY,1.5,ACTA MICROBIOL IMM H,journal,12178950,15882640,144/161,Hungary,Eastern Europe,1994-2023,Immunology and Microbiology (miscellaneous)  (Q3); Infectious Diseases (Q3); Medicine (miscellaneous) (Q3); Microbiology (medical) (Q3),Immunology and Microbiology; Medicine
Engineering in Life Sciences,3.9,Q2,Wiley,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,4,ENG LIFE SCI,journal,16182863,16180240,50/174,Germany,Western Europe,2004-2023,Bioengineering (Q2); Biotechnology (Q2); Environmental Engineering (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Environmental Science"
Antiviral Therapy,1.3,Q4,Sage Publications,VIROLOGY,1.5,ANTIVIR THER,journal,20402058,13596535,37/41,United Kingdom,Western Europe,1996-2023,Infectious Diseases (Q3); Pharmacology (Q3); Pharmacology (medical) (Q3),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Biotechnology and Bioengineering,3.5,Q2,Wiley,BIOTECHNOLOGY & APPLIED MICROBIOLOGY,4,BIOTECHNOL BIOENG,journal,63592,10970290,63/174,Germany,Western Europe,1962-2023,Applied Microbiology and Biotechnology (Q2); Bioengineering (Q2); Biotechnology (Q2),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology"
Marine Genomics,1.3,Q4,Elsevier ,GENETICS & HEREDITY,1.4,MAR GENOM,journal,18747787,18767478,156/191,Netherlands,Western Europe,2008-2023,Aquatic Science (Q2); Genetics (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Phytochemistry Letters,1.3,Q3,Elsevier ,PLANT SCIENCES,1.4,PHYTOCHEM LETT,journal,18767486,18743900,166/265,Netherlands,Western Europe,2008-2023,Agronomy and Crop Science (Q3); Biotechnology (Q3); Plant Science (Q3); Biochemistry (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Currents in Pharmacy Teaching and Learning,1.3,Q3,Elsevier ,"EDUCATION, SCIENTIFIC DISCIPLINES",1.7,CURR PHARM TEACH LEA,journal,18771300,18771297,49/85,United States,Northern America,2009-2023,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q2); Pharmacy (Q2)","Health Professions; Pharmacology, Toxicology and Pharmaceutics"
Journal of Pharmacological and Toxicological Methods,1.3,Q4,Elsevier ,TOXICOLOGY,1.5,J PHARMACOL TOX MET,journal,1873488X,10568719,96/106,United States,Northern America,"1992-2002, 2004-2023",Pharmacology (Q3); Toxicology (Q3),"Pharmacology, Toxicology and Pharmaceutics"
Open Systems and Information Dynamics,1.3,Q2,World Scientific,STATISTICS & PROBABILITY,0.8,OPEN SYST INF DYN,journal,17937191,12301612,65/168,Singapore,Asiatic Region,"1992-1995, 1997-2023",Computational Mechanics (Q2); Fluid Flow and Transfer Processes (Q3); Information Systems (Q3); Mathematical Physics (Q3); Mechanics of Materials (Q3); Physical and Theoretical Chemistry (Q3); Statistical and Nonlinear Physics (Q3); Statistics and Probability (Q3),Chemical Engineering; Chemistry; Computer Science; Engineering; Mathematics; Physics and Astronomy
Physicochemical Problems of Mineral Processing,1.3,Q3,Oficyna Wydawnicza Politechniki Wroclawsjiej,MINING & MINERAL PROCESSING,1.4,PHYSICOCHEM PROBL MI,journal,1371282,16431049,19/31,Poland,Eastern Europe,2008-2023,Economic Geology (Q3); Geology (Q3); Materials Chemistry (Q3); Physical and Theoretical Chemistry (Q3); Process Chemistry and Technology (Q3),Chemical Engineering; Chemistry; Earth and Planetary Sciences; Materials Science
International Journal of Aging and Human Development,1.2,Q4,SAGE Publications Inc.,"PSYCHOLOGY, DEVELOPMENTAL",2,INT J AGING HUM DEV,journal,914150,15413535,74/91,United States,Northern America,1973-2023,Developmental and Educational Psychology (Q2); Geriatrics and Gerontology (Q2); Aging (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine; Psychology"
Annals of Human Biology,1.2,Q4,Informa Healthcare,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",1.8,ANN HUM BIOL,journal,3014460,14645033,317/403,United Kingdom,Western Europe,1974-2023,"Public Health, Environmental and Occupational Health (Q2); Epidemiology (Q3); Genetics (Q3); Physiology (Q3); Aging (Q4)","Biochemistry, Genetics and Molecular Biology; Medicine"
ecancermedicalscience,1.2,Q4,Cancer Intellilgence,ONCOLOGY,1.9,ECANCERMEDICALSCIENC,journal,17546605,,273/322,United Kingdom,Western Europe,"2007, 2009-2023",Cancer Research (Q3); Oncology (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of the American Society for Horticultural Science,1.2,Q3,American Society for Horticultural Science,HORTICULTURE,1.6,J AM SOC HORTIC SCI,journal,31062,,21/38,United States,Northern America,"1974-1981, 1983-1989, 1991, 1993-2023",Horticulture (Q2); Genetics (Q3),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Adaptive Human Behavior and Physiology,1.2,Q3,Springer Nature,"PSYCHOLOGY, BIOLOGICAL",1.4,ADAPT HUM BEHAV PHYS,journal,21987335,,13/18,Switzerland,Western Europe,2015-2023,Experimental and Cognitive Psychology (Q3); Physiology (Q3); Behavioral Neuroscience (Q4),"Biochemistry, Genetics and Molecular Biology; Neuroscience; Psychology"
Journal of Visualized Experiments,1.2,Q3,Journal of Visualized Experiments,MULTIDISCIPLINARY SCIENCES,1.4,JOVE-J VIS EXP,journal,1940087X,,68/134,United States,Northern America,2006-2023,"Chemical Engineering (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Immunology and Microbiology (miscellaneous)  (Q3); Neuroscience (miscellaneous) (Q3)","Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Immunology and Microbiology; Neuroscience"
"Journal of Environmental Science and Health, Part C: Toxicology and Carcinogenesis",1.2,Q4,Taylor and Francis Inc.,TOXICOLOGY,2,J ENV SCI HEAL C-TOX,journal,26896591,26896583,98/106,United States,Northern America,2020-2023,"Health, Toxicology and Mutagenesis (Q3); Cancer Research (Q4)","Biochemistry, Genetics and Molecular Biology; Environmental Science"
Medical Molecular Morphology,1.2,Q3,Springer Nature,PATHOLOGY,1.5,MED MOL MORPHOL,journal,18601480,18601499,64/88,Japan,Asiatic Region,"1996-2002, 2005-2023",Medicine (miscellaneous) (Q3); Pathology and Forensic Medicine (Q3); Molecular Biology (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Basic Microbiology,3.5,Q2,Wiley,MICROBIOLOGY,3.3,J BASIC MICROB,journal,0233111X,15214028,67/161,Germany,Western Europe,1985-2023,Applied Microbiology and Biotechnology (Q2); Medicine (miscellaneous) (Q2),Immunology and Microbiology; Medicine
Reports of Practical Oncology and Radiotherapy,1.2,Q3,Via Medica,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",1.4,REP PRACT ONCOL RADI,journal,15071367,,149/204,Poland,Eastern Europe,1998-2023,"Oncology (Q3); Radiology, Nuclear Medicine and Imaging (Q3); Cancer Research (Q4)","Biochemistry, Genetics and Molecular Biology; Medicine"
Biopreservation and Biobanking,1.2,Q3,Mary Ann Liebert Inc.,MEDICAL LABORATORY TECHNOLOGY,2.1,BIOPRESERV BIOBANK,journal,19475535,19475543,22/30,United States,Northern America,2009-2023,"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Medicine (miscellaneous) (Q3); Cell Biology (Q4)","Biochemistry, Genetics and Molecular Biology; Medicine"
Plant Genetic Resources: Characterisation and Utilisation,1.2,Q3,Cambridge University Press,PLANT SCIENCES,1.2,PLANT GENET RESOUR-C,journal,1479263X,14792621,175/265,United Kingdom,Western Europe,2002-2023,Agronomy and Crop Science (Q2); Plant Science (Q3); Genetics (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Cellular Reprogramming,1.2,Q4,Mary Ann Liebert Inc.,GENETICS & HEREDITY,1.7,CELL REPROGRAM,journal,21524998,21524971,162/191,United States,Northern America,2010-2023,Biotechnology (Q3); Cell Biology (Q4); Developmental Biology (Q4),"Biochemistry, Genetics and Molecular Biology"
Chromatographia,1.2,Q4,,"CHEMISTRY, ANALYTICAL",1.7,CHROMATOGRAPHIA,journal,95893,16121112,86/106,Germany,Western Europe,1968-2023,Analytical Chemistry (Q3); Organic Chemistry (Q3); Biochemistry (Q4); Clinical Biochemistry (Q4),"Biochemistry, Genetics and Molecular Biology; Chemistry"
Baghdad Science Journal,1.2,Q3,University of Baghdad,MULTIDISCIPLINARY SCIENCES,1.1,BAGHDAD SCI J,journal,24117986,20788665,68/134,Iraq,Middle East,2017-2023,"Agricultural and Biological Sciences (miscellaneous) (Q2); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Chemistry (miscellaneous) (Q3); Computer Science (miscellaneous) (Q3); Mathematics (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Chemistry; Computer Science; Mathematics; Physics and Astronomy"
Romanian Journal of Morphology and Embryology,1.2,Q4,Publishing House of the Romanian Academy,DEVELOPMENTAL BIOLOGY,1.3,ROM J MORPHOL EMBRYO,journal,20668279,12200522,35/39,Romania,Eastern Europe,"1991-1999, 2005-2023",Embryology (Q3); Medicine (miscellaneous) (Q3); Pathology and Forensic Medicine (Q3); Cell Biology (Q4); Developmental Biology (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
Hemoglobin,1.2,Q4,Informa Healthcare,HEMATOLOGY,1.1,HEMOGLOBIN,journal,3630269,1532432X,78/97,United States,Northern America,1976-2023,Biochemistry (medical) (Q3); Hematology (Q3); Clinical Biochemistry (Q4); Genetics (clinical) (Q4),"Biochemistry, Genetics and Molecular Biology; Medicine"
Journal of Carbohydrate Chemistry,1.2,Q4,Taylor and Francis Ltd.,"CHEMISTRY, ORGANIC",1.3,J CARBOHYD CHEM,journal,15322327,7328303,44/58,United States,Northern America,1982-2023,Organic Chemistry (Q3); Biochemistry (Q4),"Biochemistry, Genetics and Molecular Biology; Chemistry"
Czech Journal of Genetics and Plant Breeding,1.2,Q3,Czech Academy of Agricultural Sciences,PLANT SCIENCES,1,CZECH J GENET PLANT,journal,12121975,18059325,175/265,Czech Republic,Eastern Europe,"2005, 2007-2023",Plant Science (Q3); Genetics (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
Letters in Drug Design and Discovery,1.2,Q4,Bentham Science Publishers B.V.,"CHEMISTRY, MEDICINAL",1,LETT DRUG DES DISCOV,journal,1875628X,15701808,66/72,United Arab Emirates,Middle East,2005-2023,Pharmaceutical Science (Q3); Drug Discovery (Q4); Molecular Medicine (Q4),"Biochemistry, Genetics and Molecular Biology; Pharmacology, Toxicology and Pharmaceutics"
Proceedings of the Indian National Science Academy,1.2,Q3,Springer Nature,MULTIDISCIPLINARY SCIENCES,0.8,P INDIAN NATL SCI AC,journal,3700046,,68/134,India,Asiatic Region,"1978-1980, 1984, 2005-2023","Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3); Physics and Astronomy (miscellaneous) (Q3)","Biochemistry, Genetics and Molecular Biology; Physics and Astronomy"
Chinese Journal of Chromatography (Se Pu),1.2,Q4,Zhongguo Kexueyuan - Chinese Academy of Sciences,"CHEMISTRY, ANALYTICAL",0.7,CHIN J CHROMATOGR,journal,18722059,10008713,86/106,China,Asiatic Region,1997-2023,Analytical Chemistry (Q4); Biochemistry (Q4); Chemical Engineering (miscellaneous) (Q4); Electrochemistry (Q4); Organic Chemistry (Q4),"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Chemistry"
Revista Brasileira de Parasitologia Veterinaria,1.2,Q3,BRAZILIAN COLL VETERINARY PARASITOLOGY,VETERINARY SCIENCES,1.3,REV BRAS PARASITOL V,journal,0103846X,,90/167,Brazil,Latin America,2005-2023,Veterinary (miscellaneous) (Q2); Parasitology (Q3),Immunology and Microbiology; Veterinary
Acta Parasitologica,1.2,Q2,Walter de Gruyter GmbH,ZOOLOGY,1.3,ACTA PARASITOL,journal,18961851,12302821,84/180,Germany,Western Europe,"1992-1994, 1996-2023",Parasitology (Q3),Immunology and Microbiology
Journal of Biopharmaceutical Statistics,1.2,Q2,Taylor and Francis Ltd.,STATISTICS & PROBABILITY,1.3,J BIOPHARM STAT,journal,10543406,15205711,74/168,United States,Northern America,1991-2023,Pharmacology (Q2); Pharmacology (medical) (Q2); Statistics and Probability (Q2),"Mathematics; Medicine; Pharmacology, Toxicology and Pharmaceutics"
International Journal of Toxicology,1.2,Q4,SAGE Publications Inc.,TOXICOLOGY,2.2,INT J TOXICOL,journal,10915818,1092874X,98/106,United States,Northern America,1982-2023,Toxicology (Q3),"Pharmacology, Toxicology and Pharmaceutics"
Journal of Pharmacopuncture,1.2,Q3,Korean Pharmacopuncture Institute,INTEGRATIVE & COMPLEMENTARY MEDICINE,1.8,J PHARMACOPUNCT,journal,20936966,22346856,28/43,South Korea,Asiatic Region,2016-2023,Complementary and Alternative Medicine (Q2); Pharmacology (Q3),"Medicine; Pharmacology, Toxicology and Pharmaceutics"
Journal of Pharmacy and Pharmacognosy Research,1.2,Q4,Asociacion Academica de Ciencias Farmaceuticas de Antofagasta (ASOCIFA),PHARMACOLOGY & PHARMACY,1.1,J PHARM PHARMACOGN R,journal,7194250,,290/354,Chile,Latin America,2013-2023,Pharmacy (Q2); Complementary and Alternative Medicine (Q3); Drug Discovery (Q3); Pharmaceutical Science (Q3); Pharmacology (Q3),"Health Professions; Medicine; Pharmacology, Toxicology and Pharmaceutics"
Papers in Physics,1.2,Q3,Instituto de Fisica de Liquidos y Sistemas Biologicos,"PHYSICS, MULTIDISCIPLINARY",1,PAP PHYS-LA PLATA,journal,18524249,,64/110,Argentina,Latin America,2009-2023,Materials Science (miscellaneous) (Q3); Physical and Theoretical Chemistry (Q3); Physics and Astronomy (miscellaneous) (Q3),Chemistry; Materials Science; Physics and Astronomy
Physics and Chemistry of Liquids,1.2,Q4,Taylor and Francis Ltd.,"PHYSICS, CONDENSED MATTER",1.2,PHYS CHEM LIQ,journal,10290451,319104,65/79,United Kingdom,Western Europe,1968-2023,"Condensed Matter Physics (Q3); Electronic, Optical and Magnetic Materials (Q3); Materials Chemistry (Q3); Physical and Theoretical Chemistry (Q3)",Chemistry; Materials Science; Physics and Astronomy
Journal of Structural Chemistry,1.2,Q4,Pleiades Publishing,"CHEMISTRY, PHYSICAL",0.8,J STRUCT CHEM+,journal,224766,15738779,165/178,United States,Northern America,1960-2023,Inorganic Chemistry (Q4); Materials Chemistry (Q4); Physical and Theoretical Chemistry (Q4),Chemistry; Materials Science
Human Heredity,1.1,Q4,S. Karger AG,GENETICS & HEREDITY,1.4,HUM HERED,journal,14230062,15652,167/191,Switzerland,Western Europe,"1950-1954, 1956-2022",Genetics (Q3); Genetics (clinical) (Q3),"Biochemistry, Genetics and Molecular Biology; Medicine"
Visual Neuroscience,1.1,Q3,Cambridge University Press,OPHTHALMOLOGY,2.2,VISUAL NEUROSCI,journal,14698714,9525238,70/95,United Kingdom,Western Europe,1988-2023,Physiology (Q3); Sensory Systems (Q4),"Biochemistry, Genetics and Molecular Biology; Neuroscience"
Journal of Motor Behavior,1.1,Q3,Routledge,SPORT SCIENCES,1.3,J MOTOR BEHAV,journal,222895,19401027,91/127,United States,Northern America,1969-2023,Biophysics (Q3); Cognitive Neuroscience (Q3); Experimental and Cognitive Psychology (Q3); Orthopedics and Sports Medicine (Q3); Sports Science (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine; Neuroscience; Psychology"
Proteomics,3.4,Q2,Wiley,BIOCHEMISTRY & MOLECULAR BIOLOGY,3.9,PROTEOMICS,journal,16159861,16159853,138/313,Germany,Western Europe,2001-2023,Biochemistry (Q2); Molecular Biology (Q2),"Biochemistry, Genetics and Molecular Biology"
Journal of Applied Biomechanics,1.1,Q3,Human Kinetics Publishers Inc.,SPORT SCIENCES,1.5,J APPL BIOMECH,journal,15432688,10658483,91/127,United States,Northern America,1995-2023,Rehabilitation (Q2); Biophysics (Q3); Orthopedics and Sports Medicine (Q3); Sports Science (Q3),"Biochemistry, Genetics and Molecular Biology; Health Professions; Medicine"
Journal of Osteoporosis,1.1,Q3,Hindawi Publishing Corporation,ORTHOPEDICS,2.7,J OSTEOPOROS,journal,20908059,20420064,97/136,United States,Northern America,2012-2023,"Endocrinology, Diabetes and Metabolism (Q3); Endocrinology (Q4)","Biochemistry, Genetics and Molecular Biology; Medicine"
Zoomorphology,1.1,Q3,Springer Nature,ZOOLOGY,1.2,ZOOMORPHOLOGY,journal,1432234X,0720213X,96/180,Germany,Western Europe,1980-2023,Animal Science and Zoology (Q2); Developmental Biology (Q4),"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology"
